Area Code,Area Name,NHS region,Region (Governement) ,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020
E10000018,Leicestershire,East Midlands,East Midlands,2,2,2,2,3,4,6,5,7,14,17,20,29,43,53,65,80,98,128,136,141,146,170,187,201,267,277
E10000019,Lincolnshire,East Midlands,East Midlands,1,1,1,1,1,3,4,4,4,7,7,9,9,14,20,24,31,32,39,53,72,78,104,133,153,182,223
E10000020,Norfolk,East of England,East of England,0,0,0,0,0,0,1,2,3,4,11,17,24,34,35,42,45,51,70,90,107,133,148,180,207,225,254
E10000021,Northamptonshire,East Midlands,East Midlands,4,5,5,5,6,8,9,12,12,15,16,17,20,21,29,37,43,64,86,106,126,153,170,187,220,264,302
E10000023,North Yorkshire,Yorkshire and The Humber,Yorkshire and The Humber,0,0,0,4,4,2,7,6,8,11,13,14,16,20,24,30,45,50,69,75,88,108,122,149,163,193,218
E10000024,Nottinghamshire,East Midlands,East Midlands,5,5,6,6,6,6,6,14,13,28,29,41,45,60,71,78,92,109,135,177,193,216,218,275,298,336,357
E10000025,Oxfordshire,South East,South East,5,7,9,17,22,21,24,23,25,34,34,40,44,52,63,69,86,98,113,121,140,165,198,234,277,315,356
E10000027,Somerset,South West,South West,2,2,2,1,1,2,2,3,5,7,10,10,12,13,15,21,22,23,25,31,36,46,54,63,68,72,76
E10000028,Staffordshire,West Midlands,West Midlands,4,4,4,4,4,4,6,7,10,14,18,25,35,41,54,76,97,121,145,186,212,256,281,329,372,439,470
E10000029,Suffolk,East of England,East of England,1,1,1,1,1,1,3,3,3,10,13,13,15,18,22,28,35,42,61,74,87,100,116,125,157,161,191
E10000030,Surrey,South East,South East,6,6,10,13,16,15,23,25,30,39,45,57,65,68,69,110,117,142,271,314,338,358,387,571,618,649,736
E10000031,Warwickshire,West Midlands,West Midlands,4,4,4,4,4,4,5,4,4,10,11,13,17,29,35,52,59,74,101,113,127,148,161,190,235,279,302
E10000032,West Sussex,South East,South East,3,3,3,3,4,6,7,5,10,10,16,19,27,27,28,52,57,69,86,110,113,113,146,160,172,199,216
E10000034,Worcestershire,West Midlands,West Midlands,0,0,0,0,2,2,3,3,1,5,8,10,12,19,28,38,55,76,93,108,126,146,170,201,221,277,321
